Key,SourceString
"Title_Edit","Edit Guard Appearance"
"Title_ChangeCategory","Change Category"
"Title_Armor","Armor"
"Cat_AllArmor","All Armor"
"Cat_Helm","Helm"
"Cat_Torso","Torso"
"Cat_Hips","Hips"
"Cat_LeftBoot","Left Boot"
"Cat_RightBoot","Right Boot"
"Cat_LeftUpperArm","Left Upper Arm"
"Cat_LeftLowerArm","Left Lower Arm"
"Cat_LeftHand","Left Hand"
"Cat_RightUpperArm","Right Upper Arm"
"Cat_RightLowerArm","Right Lower Arm"
"Cat_RightHand","Right Hand"
"Cat_LeftPauldron","Left Pauldron"
"Cat_RightPauldron","Right Pauldron"
"Title_Other","Other"
"Cat_Skin","Skin"
"Cat_Cape","Cape"
"Cat_Shield","Shield"
"Title_EditColor","Edit Color"
