Key,SourceString
"Wishlist","Wishlist Now!"
"Discord","Join Discord"
"AnyKey","Press Any"
"Continue","Continue"
"Menu_Solo","Solo"
"Menu_Online","Online"
"Settings","Settings"
"Exit","Exit"
"Credits","Credits"
"Back","Back"
"Confirm","Confirm"
"Cancel","Cancel"
"Browser_HostPrivate","Private"
"Browser_Refresh","Refresh"
"Browser_HostGame","HOST NEW GAME"
"Browser_FindGames","FIND EXISTING SERVERS"
"ConnectIP","Connect To IP"
"Esc_Restart","Restart"
"Esc_Leave","Leave Party"
"Esc_Resume","Resume"
"Esc_Restart","Restart Level"
"Esc_Abort","Abort Mission"
"Esc_Servers","Servers"
"Esc_Friends","Friends"
"Esc_Quit","Quit Game"
