Key,SourceString
"Tavern_Title","On the Beat"
"Warehouse_Title","Raid the Warehouse"
"Tavern_Extracts","- Responding to a 267 at the Tavern\r\n- Subdue All Perps"
"Tavern_Flavor","\'A regular day on the job\'"
"Warehouse_Flavor","\'The suspicous crates led us here - burn it down\'"
"Warehouse_Extracts","- The warehouse is full of narcotics\r\n- Destroy the narcotics crates"
"Castle_Title","Castle on the Water"
"Castle_Flavor","\'The docks foreman gave us a lead on the Miff Lab - The Castle\'"
"Castle_Extracts","- Destroy the Narcotics \'Miff\' Lab\r\n- Subdue all Perps"
"Hideout_Title","Goblinz Hideout"
"Hideout_Extracts","- Gather Evidence of Narcotics Activity\r\n- News on the Street is they come in crates"
"Hideout_Flavor","\'The suspicous crates led us here - burn it down\'"
"Stronghold_Title","Goblinz Stronghold"
"Stronghold_Flavor","\'Justice will be delivered - The Kingpin dies tonight\'"
"Stronghold_Extracts","- Fight your way to the Goblinz Stronghold\r\n- Defeat the Kingpin"
"GobboCamp_Title","Goblinz Camp"
"GobboCamp_Extracts","- Get Armed and clear the Goblin Camp\r\n- Free the prisoners"
"GobboCamp_Flavor","\'We\'ve been out for weeks - they took the city - time to take it back\'"
"EastBridge_Title","East Bridge"
"EastBridge_Extracts","- Fight your way into the City - Reach the Bastion\r\n- Free the Citizens of New Alestead"
"EastBridge_Flavor","\'This is our City - Show them what the Guard can do\'"
"Docks_Title","Mega Docks"
"Docks_Flavor","\'The Miff Crates supply chain led us here - secure the foreman\'"
"Docks_Extracts","- Apprehend the Docks Foreman\r\n- Escort the Foreman back to the carriage"
"Bank_Title","Ffloyd\'s Bank"
"Bank_Flavor","\'The Tavern Brawlers had orders to join a Bank Heist... \r\nNot on my Watch\'"
"Bank_Extracts","- Goblinz have taken the Bank\r\n- Subdue all Goblinz"
"Bastion_Title","The Bastion"
"Bastion_Flavor","\'The Goblinz are mounting an assault - Give No Quarter!!\'"
"Bastion_Extracts","- Maintain control of the Bastion\r\n- Defeat all waves of attackers"
