Key,SourceString
"Mission_NA_1","Maintain Order"
"Mission_NA_2","Arrest the Heist Leader"
"Mission_NA_3","Destroy Narcotics"
"Mission_NA_4","Find the Supply Chain"
"Mission_NA_5","Arrest The Dock Foreman"
"Mission_NA_6","Destroy the Miff Lab"
"Mission_NA_7","Escape the Camp"
"Mission_NA_8","Retake the City"
"Mission_NA_9","Defend the Bastion"
"Mission_NA_10","Defeat the Goblinz Chieftain"
"Obj_APC","Enter the APC"
"Obj_LeaveSector","Leave Sector"
"Obj_NA_2","Perps Remaining"
"Obj_NA_1","Perps Remaining"
"Obj_NA_3","Destroy the Narcotics"
"Obj_NA_4","Bring Evidence to APC"
"Obj_NA_5","Escort the Foreman to the APC"
"Obj_NA_6","Destroy Contraband & Subdue Perps"
"Obj_NA_7","Clear the Goblin Camp"
"Obj_NA_8","Free the Hostages"
"Obj_NA_9","Survive Waves"
"Obj_NA_10","Apprehend the Goblinz Chieftain"
"Hub_WarTable","Start Mission at the War Table"
"Side_Tickets","Optional: Place Tickets"
