Key,SourceString
"Video","Video"
"Game","Game & Audio"
"Gamma","Gamma"
"FOV","Field of View"
"Res","Resolution"
"Window","Window Mode"
"FPS","Max FPS"
"VSync","Vertical Sync"
"ResScale","Resolution Scale"
"ViewDist","View Distance"
"AA","Anti-Aliasing"
"PP","Post-Processing"
"Shadows","Shadows"
"Textures","Textures"
"Effects","Effects"
"Setting_On","On"
"WM_B","Borderless"
"WM_W","Windowed"
"WM_F","Fullscreen"
"Setting_Off","Off"
"MotionBlur","Motion Blur"
"Foliage","Foliage"
"Bloom","Bloom"
"Setting_Low","Low"
"Setting_Medium","Medium"
"Setting_High","High"
"Setting_Epic","Epic"
